filename,dc.creator,dc.title,dc.relation.ispartof,dc.publisher,dc.date.issued,dc.description,dc.description.tableofcontents,dc.subject,dc.subject.nalt,dc.subject.lcsh,dc.language,dc.type,dc.format,dc.coverage.spatial,dc.audience
MP0001,"Cover, Sylvia||Wilcox, Ethelwyn B.|| Noble, Isabelle",Lamb: An Annotated Bibliography.,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 1.,Texas Agricultural Experiment Station ,1946,21 pg.,,,lamb meat||sheep meat||animal feeding||diet,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 2.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 3.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 4.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 5.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 6.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 7.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 8.,Texas Agricultural Experiment Station,,,,,,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 9.,Texas Agricultural Experiment Station,,,,,,,,,,,
MP0010,"Reiser, Raymond",The Effect of Removal of Lipids By Solvent Extraction On the Feeding Value of Cottonseed and Syobean Meals.,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 10.,Texas Agricultural Experiment Station,1947,7 pg.,,,soybean products||cottonseed products||fats||technical chemicals,,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 11.,Texas Agricultural Experiment Station,,,,,,,,,,,
MP0012,"Motheral, Joe R.||Rosenquist, Carl M.",An Experiment in Research Planning.,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 12.,Texas Agricultural Experiment Station,1947,18 pg.,,,human population||research management||population dynamics||data analysis,,,,,,
MP0013,"Greulach, Victor A.",Some Basic Information About Radioactive Tracers for Plant Scientists.,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 13.,Texas Agricultural Experiment Station,1948,21 pg.,,,radiolabeling||radioactive isotopes||stable isotopes||particles||labeling techniques,,,,,,
MP0014,Anonymous;,"Warning to Those Planning to Use 2,4-D Weed Killers.",Miscellaneous Publication / Texas Agricultural Experiment Station; No. 14.,Texas Agricultural Experiment Station,1948,1 pg.,,,"2,4-dichlorophenoxy acetic acid||herbicides||agricultural health and safety||loss prevention",,,,,,
,,,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 15.,Texas Agricultural Experiment Station,,,,,,,,,,,
MP0016,"Boughton, I. B.",A Survey of the Foot and Mouth Disease Problem in Mexico.,Miscellaneous Publication / Texas Agricultural Experiment Station; No. 16.,Texas Agricultural Experiment Station,1948,7 pg.,,,FMD (disease)||hoof and mouth disease||infectious diseases||,,,,,,
