filename,dc.creator,dc.title,dc.relation.ispartof,dc.publisher,dc.date.issued,dc.description.tableofcontents,dc.subject,dc.subject.lcsh,dc.subject.nalt,dc.description,dc.language,dc.type,dc.format,dc.coverage.spatial,dc.audience
L148,"Anonymous,",Control Rats and Mice with Anticoagulants.,Leaflet / Texas Agricultural Extension Service; no. 148.,Texas Agricultural Extension Service,1977,,,,pest control|| control methods|| rodent control|| anticoagulants|| rodenticides|| bait traps||,4 pg,,article,,Texas,
L190,"Stewart, B. R.|| O'Neal, H. P.",Whitewash for Farms and Homes.,Leaflet / Texas Agricultural Extension Service; no. 190.,Texas Agricultural Extension Service,1981,,whitewash|| lime||,,paints|| mixtures|| ,2 pg ,,article,,Texas,
L218,"Anonymous,",Suggestions for Controlling Cotton Insects in South and East Texas Counties.,Leaflet / Texas Agricultural Extension Service; no. 218.,Texas Agricultural Extension Service,1977,,,,insect control|| cotton|| Pectinophora gossypiella|| insecticides|| application timing|| application methods|| application rate|| dusting|| spraying|| pesticide mixtures|| beneficial insects|| insecticide resistance|| systemic acquired resistance|| Anthonomus grandis||,9 pg,,article,,Texas,
L218,"Anonymous,",Suggestions for Controlling Cotton Insects in South and East Texas Counties.,Leaflet / Texas Agricultural Extension Service; no. 218.,Texas Agricultural Extension Service,1978,,,,insect control|| cotton|| Pectinophora gossypiella|| insecticides|| application timing|| application methods|| application rate|| dusting|| spraying|| pesticide mixtures|| beneficial insects|| insecticide resistance|| systemic acquired resistance|| Anthonomus grandis||,9 pg,,article,,Texas,
L352,"Anonymous,",Are you a Good Eater?,Leaflet / Texas Agricultural Extension Service; no. 352.,Texas Agricultural Extension Service,1977,,,,human nutrition|| meal planning|| dietary recommendations|| food guides|| food groups||,3 pg,,article,,Texas,
L427,"Allen, Charles T.|| Amador, Jose",Use Los Pesticidas con Sentido Comun.,Leaflet / Texas Agricultural Extension Service; no. 427.,Texas Agricultural Extension Service,1982,,poison||,,venenos|| insecticidas|| insecticides|| salud y seguridad de la agricultura|| agricultural health and safety|| signs and symptoms (animals and humans)|| signos y síntomas (animales y seres humanos),4 pg,Spanish,article,,Texas,
L475,"Horne, C. Wendell|| Johnson, Jerral D.",Tomato Diseases.,Leaflet / Texas Agricultural Extension Service; no. 475.,Texas Agricultural Extension Service,1980,,,,tomatoes|| plant diseases and disorders|| guidelines|| signs and symptoms (plants)|| disease control|| pesticides|| ,8 pg ,,article,,Texas,
L508,"Anonymous,","Suggestions for Controlling Cotton Insects in the High Plains, Rolling Plains and Trans-Pecos Areas of Texas.",Leaflet / Texas Agricultural Extension Service; no. 508.,Texas Agricultural Extension Service,1977,,bollworms|| pink bollworms||,,insect control|| cotton|| insecticides|| application timing|| application methods|| application rate|| dusting|| spraying|| pesticide mixtures|| seed treatment|| beneficial insects|| insecticide resistance||,7 pg,,article,,Texas,
L508,"Anonymous,","Suggestions for Controlling Cotton Insects in the High Plains, Rolling Plains and Trans-Pecos Areas of Texas.",Leaflet / Texas Agricultural Extension Service; no. 508.,Texas Agricultural Extension Service,1978,,bollworms|| pink bollworms||,,insect control|| cotton|| insecticides|| application timing|| application methods|| application rate|| dusting|| spraying|| pesticide mixtures|| seed treatment|| beneficial insects|| insecticide resistance||,7 pg,,article,,Texas,
L561,"Anonymous,",Suggestions for Controlling Cotton Insects in the Lower Rio Grande Valley of Texas.,Leaflet / Texas Agricultural Extension Service; no. 561.,Texas Agricultural Extension Service,1978,,,,insect control|| cotton|| insecticides|| application timing|| application methods|| application rate|| dusting|| spraying|| pesticide mixtures|| insecticide resistance|| beneficial insects|| Anthonomus grandis grandis|| Pectinophora gossypiella||,7 pg ,,article,,Texas,
