filename,dc.title,dc.abstract,dc.creator,dc.citation,local.country,dc.relation.ispartof,dc.rights.holder,dc.identifier.other,dc.identifer.url,dc.rights,dc.rights.uri,dc.subject.other,dc.relation.ispartofseries,dc.relation.ispartofcollection
alice-5694328-1867_01,"From the chapter ""Pig and Pepper"", Alice's Adventures in Wonderland","Alice’s Adventures in Wonderland. Lewis Carroll. Macmillan and Co, 1867. Illustrated by Sir John Tenniel. Second edition.",Sir John Tenniel,"Lewis Carroll. Alice's Adventures in Wonderland. Macmillan and Co., 1867",England,Cushing Library. Children's Collection,Public domain,5694328,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5694328,A copyright review process in August 2018 has determined that this particular item is in the public domain since the book in which this illustration appeared was published pre-1923.,http://rightsstatements.org/page/NoC-US/1.0/?language=en,Alice || Pig,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-5694328-1867_02,"From the chapter ""Who Stole The Tarts?"", Alice's Adventures in Wonderland","Alice’s Adventures in Wonderland. Lewis Carroll. Macmillan and Co, 1867. Illustrated by Sir John Tenniel. Second edition.",Sir John Tenniel,"Lewis Carroll. Alice's Adventures in Wonderland. Macmillan and Co., 1867",England,Cushing Library. Children's Collection,Public domain,5694328,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5694328,A copyright review process in August 2018 has determined that this particular item is in the public domain since the book in which this illustration appeared was published pre-1923.,http://rightsstatements.org/page/NoC-US/1.0/?language=en,Queen of Hearts || King of Hearts || Cards,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-5444629-1872_01,"Alice passing through the Looking-glass, from the chapter ""Looking-Glass House"", Through the Looking Glass and What Alice Found There","Through the Looking Glass, And What Alice Found There. Lewis Carroll. Macmillan and Company, 1872. Illustrated by Sir John Tenniel. First edition.",Sir John Tenniel,"Lewis Carroll. Through the Looking Glass and What Alice Found There. Macmillan and Co., 1872",England,Cushing Library. Children's Collection,Public domain,5444629,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5444629,A copyright review process in August 2018 has determined that this particular item is in the public domain since the book in which this illustration appeared was published pre-1923.,http://rightsstatements.org/page/NoC-US/1.0/?language=en,Alice || Looking-glass,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-5444629-1872_02,"Alice through the Looking-glass, from the chapter ""Looking-Glass House"", Through the Looking Glass and What Alice Found There","Through the Looking Glass, And What Alice Found There. Lewis Carroll. Macmillan and Company, 1872. Illustrated by Sir John Tenniel. First edition.",Sir John Tenniel,"Lewis Carroll. Through the Looking Glass and What Alice Found There. Macmillan and Co., 1872",England,Cushing Library. Children's Collection,Public domain,5444629,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5444629,A copyright review process in August 2018 has determined that this particular item is in the public domain since the book in which this illustration appeared was published pre-1923.,http://rightsstatements.org/page/NoC-US/1.0/?language=en,Alice,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-4032071-1932_01,Alice and the Caterpillar,"Hudson (1909-1935) was a painter and poster artist who illustrated editions both of Alice and of J.M. Barrie's Peter Pan and Wendy.  Her illustration of Alice are among the more well-known extant.  Here Hudson depicts the meeting between Alice and the hookah-smoking Caterpillar, an encounter particularly maddening for Alice because of the Caterpillar's rude questions and gnomic utterances.",Gwynedd M. Hudson,"Lewis Carroll. Alice's Adventures in Wonderland (Centenary Edition). Hodder & Stroughton, 1932",England,Cushing Library. Children's Collection,Public domain,4032071,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4032071,"A copyright review process in August 2018 has determined that this particular item, published in the UK, is in the public domain since the illustrator died more than 70 years ago.",http://rightsstatements.org/page/NoC-US/1.0/?language=en,Alice || Caterpillar || Mushroom,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-4718342-1932_01,Alice and the mushroom,"Henderson's Alice is very much a girl of her time, wearing a flapper dress, with her hair cut in a fashionable bob.  She is eating a bit of mushroom, which will go on to make her neck longer, until she is so tall that she can no longer see her hands.",Hume Henderson,"Lewis Carroll. Alice's Adventures in Wonderland. Readers Library, 1932",England,Cushing Library. Children's Collection,Illustrator,4718342,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4718342,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",http://rightsstatements.org/page/InC-RUU/1.0/?language=en,Alice || Mushroom || Flapper,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-4904925-1939_01,Alice with a Flamingo,"The illustrations by Groves-Reines are remarkably similar in style to the classic illustrations by Sir John Tenniel.  Likewise, this story is written remarkably like the original Alice in Wonderland, but with references to Guinness beer throughout.  Here, we see Alice and the Duchess discussing a glass of Guinness that is nearly as tall as they are.",Ralph Gore Antony Groves-Raines,"Lewis Carroll. Alice Aforethought. Arthur Guinness, Sons & Co., 1938",Ireland?,Cushing Library. Children's Collection,Publisher or illustrator? 1938,4904925,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4904925,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",http://rightsstatements.org/page/InC/1.0/?language=en,Alice || Duchess,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-4904925-1939_02,The Walrus and the Carpenter,"The illustrations by Groves-Reines are remarkably similar in style to the classic illustrations by Sir John Tenniel.  Likewise, this story is written remarkably like the original Alice in Wonderland, but with references to Guinness beer throughout.  Here, we see a pitch for a glass as an apéritif, from the Walrus turned waiter.",Ralph Gore Antony Groves-Raines,"Lewis Carroll. Alice Aforethought. Arthur Guinness, Sons & Co., 1938",Ireland?,Cushing Library. Children's Collection,Publisher or illustrator? 1938,4904925,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=4904925,"A copyright review process in August 2018 has determined that this particular item is in copyright, but the rights holder is unclear or unresponsive.  The Libraries provide access to the materials here as a digital aggregate under an assertion of fair use for non-commercial educational use (17 U.S. Code § 107) as well as of fair dealing for the illustrations published in the UK (Copyright, Designs and Patent Act 1988 [UK]). The written permission of any copyright and other rights holders is required for distribution, reproduction, or other use that extends beyond what is authorized by fair use and other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. TAMU Libraries would be interested in updating the copyright holder information on items displayed in these collections.  Please use the contact method provided below to help update these records for future researchers.",http://rightsstatements.org/page/InC/1.0/?language=en,Walrus,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-5454533-1940_01,Alice and the animals listening to the Mouse's story,"This edition of Alice, in Swahili, is the first version translated into a native African language.  The illustrator has copied the original Tenniel illustrations but has made all the human characters (except, notably, the King and Queen of Hearts) African.  Alice is dressed in a white wrap of khanga cloth, and the Hatter wears a fez rather than the traditional English top hat. ",Unidentified,"Lewis Carroll. Elisi Katika Nchi Ya Ajabu. Sheldon Press, 1940",England,Cushing Library. Children's Collection,Public domain,5454533,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5454533,A copyright review process in August 2018 has revealed that this particular item has been determined to be in the public domain by the Internet Archive.  See:  https://archive.org/details/elisikatikanchiy00carrrich,http://rightsstatements.org/page/NoC-US/1.0/?language=en,Alice || Dodo,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
alice-5454533-1940_02,"Alice and the Dodo, before the Caucus-race begins","This edition of Alice, in Swahili, is the first version translated into a native African language.  The illustrator has copied the original Tenniel illustrations but has made all the human characters (except, notably, the King and Queen of Hearts) African.  Alice is dressed in a white wrap of khanga cloth, and the Hatter wears a fez rather than the traditional English top hat.",Unidentified,"Lewis Carroll. Elisi Katika Nchi Ya Ajabu. Sheldon Press, 1940",England,Cushing Library. Children's Collection,Public domain,5454533,https://libcat.tamu.edu/vwebv/holdingsInfo?bibId=5454533,A copyright review process in August 2018 has revealed that this particular item has been determined to be in the public domain by the Internet Archive.  See:  https://archive.org/details/elisikatikanchiy00carrrich,http://rightsstatements.org/page/NoC-US/1.0/?language=en,Alice || Dodo,"""Who in the world am I? Ah, that's the great puzzle!"": The Faces of Alice in Wonderland",facesofalice_1054246245_2018-08
